"","der_activity_month","type","speciality","procedure_desc_short","n_spells_IP","n_spells_OP","all_activity"
"375","2020-09-01","Independent Sector","Orthopaedic","Hand","1338","209","1547"
"376","2020-09-01","Independent Sector","Orthopaedic","Hip","1401","112","1513"
"377","2020-09-01","Independent Sector","Orthopaedic","Knee","2322","387","2709"
"378","2020-09-01","Independent Sector","Orthopaedic","Shoulder","731","220","951"
"379","2020-09-01","NHS","Orthopaedic","Elbow","957","4378","5335"
"380","2020-09-01","NHS","Orthopaedic","Foot","3333","1842","5175"
"381","2020-09-01","NHS","Orthopaedic","Hand","5354","4211","9565"
"382","2020-09-01","NHS","Orthopaedic","Hip","4498","1361","5859"
"383","2020-09-01","NHS","Orthopaedic","Knee","6697","3245","9942"
"384","2020-09-01","NHS","Orthopaedic","Shoulder","2388","3336","5724"
"385","2020-10-01","Independent Sector","Orthopaedic","Elbow","195","123","318"
"386","2020-10-01","Independent Sector","Orthopaedic","Foot","1067","144","1211"
"387","2020-10-01","Independent Sector","Orthopaedic","Hand","1624","282","1906"
"388","2020-10-01","Independent Sector","Orthopaedic","Hip","2034","123","2157"
"389","2020-10-01","Independent Sector","Orthopaedic","Knee","3024","443","3467"
"390","2020-10-01","Independent Sector","Orthopaedic","Shoulder","889","290","1179"
"391","2020-10-01","NHS","Orthopaedic","Elbow","1168","3901","5069"
"392","2020-10-01","NHS","Orthopaedic","Foot","4034","1915","5949"
"393","2020-10-01","NHS","Orthopaedic","Hand","5949","4105","10054"
"394","2020-10-01","NHS","Orthopaedic","Hip","5641","1204","6845"
"395","2020-10-01","NHS","Orthopaedic","Knee","8276","3293","11569"
"396","2020-10-01","NHS","Orthopaedic","Shoulder","2616","2984","5600"
"397","2020-11-01","Independent Sector","Orthopaedic","Elbow","194","80","274"
"398","2020-11-01","Independent Sector","Orthopaedic","Foot","1010","174","1184"
"399","2020-11-01","Independent Sector","Orthopaedic","Hand","1544","247","1791"
"400","2020-11-01","Independent Sector","Orthopaedic","Hip","1914","139","2053"
"401","2020-11-01","Independent Sector","Orthopaedic","Knee","3026","434","3460"
"402","2020-11-01","Independent Sector","Orthopaedic","Shoulder","835","293","1128"
"403","2020-11-01","NHS","Orthopaedic","Elbow","1026","3153","4179"
"404","2020-11-01","NHS","Orthopaedic","Foot","3734","1770","5504"
"405","2020-11-01","NHS","Orthopaedic","Hand","5425","3414","8839"
"406","2020-11-01","NHS","Orthopaedic","Hip","5078","1125","6203"
"407","2020-11-01","NHS","Orthopaedic","Knee","7192","3093","10285"
"408","2020-11-01","NHS","Orthopaedic","Shoulder","2370","2648","5018"
"409","2020-12-01","Independent Sector","Orthopaedic","Elbow","162","99","261"
"410","2020-12-01","Independent Sector","Orthopaedic","Foot","832","147","979"
"411","2020-12-01","Independent Sector","Orthopaedic","Hand","1363","231","1594"
"412","2020-12-01","Independent Sector","Orthopaedic","Hip","1518","125","1643"
"413","2020-12-01","Independent Sector","Orthopaedic","Knee","2461","375","2836"
"414","2020-12-01","Independent Sector","Orthopaedic","Shoulder","790","278","1068"
"415","2020-12-01","NHS","Orthopaedic","Elbow","903","2804","3707"
"416","2020-12-01","NHS","Orthopaedic","Foot","2994","1532","4526"
"417","2020-12-01","NHS","Orthopaedic","Hand","4483","2919","7402"
"418","2020-12-01","NHS","Orthopaedic","Hip","4117","1139","5256"
"419","2020-12-01","NHS","Orthopaedic","Knee","5884","2823","8707"
"420","2020-12-01","NHS","Orthopaedic","Shoulder","1971","2363","4334"
"421","2021-01-01","Independent Sector","Orthopaedic","Elbow","177","59","236"
"422","2021-01-01","Independent Sector","Orthopaedic","Foot","961","144","1105"
"423","2021-01-01","Independent Sector","Orthopaedic","Hand","1706","224","1930"
"424","2021-01-01","Independent Sector","Orthopaedic","Hip","1640","96","1736"
"425","2021-01-01","Independent Sector","Orthopaedic","Knee","2769","329","3098"
"426","2021-01-01","Independent Sector","Orthopaedic","Shoulder","810","235","1045"
"427","2021-01-01","NHS","Orthopaedic","Elbow","405","2828","3233"
"428","2021-01-01","NHS","Orthopaedic","Foot","1215","1200","2415"
"429","2021-01-01","NHS","Orthopaedic","Hand","2184","2569","4753"
"430","2021-01-01","NHS","Orthopaedic","Hip","1523","965","2488"
"431","2021-01-01","NHS","Orthopaedic","Knee","2110","2339","4449"
"432","2021-01-01","NHS","Orthopaedic","Shoulder","783","1875","2658"
"433","2021-02-01","Independent Sector","Orthopaedic","Elbow","203","61","264"
"434","2021-02-01","Independent Sector","Orthopaedic","Foot","994","133","1127"
"435","2021-02-01","Independent Sector","Orthopaedic","Hand","1970","283","2253"
"436","2021-02-01","Independent Sector","Orthopaedic","Hip","1871","109","1980"
"437","2021-02-01","Independent Sector","Orthopaedic","Knee","3077","359","3436"
"438","2021-02-01","Independent Sector","Orthopaedic","Shoulder","961","252","1213"
"439","2021-02-01","NHS","Orthopaedic","Elbow","445","2836","3281"
"440","2021-02-01","NHS","Orthopaedic","Foot","1149","1272","2421"
"441","2021-02-01","NHS","Orthopaedic","Hand","2372","2700","5072"
"442","2021-02-01","NHS","Orthopaedic","Hip","1503","972","2475"
"443","2021-02-01","NHS","Orthopaedic","Knee","2083","2340","4423"
"444","2021-02-01","NHS","Orthopaedic","Shoulder","865","1895","2760"
"445","2021-03-01","Independent Sector","Orthopaedic","Elbow","292","77","369"
"446","2021-03-01","Independent Sector","Orthopaedic","Foot","1294","186","1480"
"447","2021-03-01","Independent Sector","Orthopaedic","Hand","2238","337","2575"
"448","2021-03-01","Independent Sector","Orthopaedic","Hip","2322","155","2477"
"449","2021-03-01","Independent Sector","Orthopaedic","Knee","4128","439","4567"
"450","2021-03-01","Independent Sector","Orthopaedic","Shoulder","1220","347","1567"
"451","2021-03-01","NHS","Orthopaedic","Elbow","804","3521","4325"
"452","2021-03-01","NHS","Orthopaedic","Foot","2420","1705","4125"
"453","2021-03-01","NHS","Orthopaedic","Hand","4221","3536","7757"
"454","2021-03-01","NHS","Orthopaedic","Hip","3168","1348","4516"
"455","2021-03-01","NHS","Orthopaedic","Knee","4745","2961","7706"
"456","2021-03-01","NHS","Orthopaedic","Shoulder","1684","2647","4331"
"457","2021-04-01","Independent Sector","Orthopaedic","Elbow","223","139","362"
"458","2021-04-01","Independent Sector","Orthopaedic","Foot","1316","194","1510"
"459","2021-04-01","Independent Sector","Orthopaedic","Hand","1812","323","2135"
"460","2021-04-01","Independent Sector","Orthopaedic","Hip","2417","162","2579"
"461","2021-04-01","Independent Sector","Orthopaedic","Knee","3871","440","4311"
"462","2021-04-01","Independent Sector","Orthopaedic","Shoulder","1078","313","1391"
"463","2021-04-01","NHS","Orthopaedic","Elbow","965","3572","4537"
"464","2021-04-01","NHS","Orthopaedic","Foot","3506","1888","5394"
"465","2021-04-01","NHS","Orthopaedic","Hand","4937","3665","8602"
"466","2021-04-01","NHS","Orthopaedic","Hip","4510","1432","5942"
"467","2021-04-01","NHS","Orthopaedic","Knee","6924","3158","10082"
"468","2021-04-01","NHS","Orthopaedic","Shoulder","2147","3139","5286"
"469","2021-05-01","Independent Sector","Orthopaedic","Elbow","242","166","408"
"470","2021-05-01","Independent Sector","Orthopaedic","Foot","1275","189","1464"
"471","2021-05-01","Independent Sector","Orthopaedic","Hand","1859","314","2173"
"472","2021-05-01","Independent Sector","Orthopaedic","Hip","2608","171","2779"
"473","2021-05-01","Independent Sector","Orthopaedic","Knee","4009","552","4561"
"474","2021-05-01","Independent Sector","Orthopaedic","Shoulder","1094","358","1452"
"475","2021-05-01","NHS","Orthopaedic","Elbow","1121","3614","4735"
"476","2021-05-01","NHS","Orthopaedic","Foot","4102","1899","6001"
"477","2021-05-01","NHS","Orthopaedic","Hand","6014","3985","9999"
"478","2021-05-01","NHS","Orthopaedic","Hip","6100","1507","7607"
"479","2021-05-01","NHS","Orthopaedic","Knee","8191","3224","11415"
"480","2021-05-01","NHS","Orthopaedic","Shoulder","2699","3176","5875"
"481","2021-06-01","Independent Sector","Orthopaedic","Elbow","207","178","385"
"482","2021-06-01","Independent Sector","Orthopaedic","Foot","1370","228","1598"
"483","2021-06-01","Independent Sector","Orthopaedic","Hand","1930","371","2301"
"484","2021-06-01","Independent Sector","Orthopaedic","Hip","2557","177","2734"
"485","2021-06-01","Independent Sector","Orthopaedic","Knee","3855","652","4507"
"486","2021-06-01","Independent Sector","Orthopaedic","Shoulder","1053","370","1423"
"487","2021-06-01","NHS","Orthopaedic","Elbow","1298","4781","6079"
"488","2021-06-01","NHS","Orthopaedic","Foot","4553","2341","6894"
"489","2021-06-01","NHS","Orthopaedic","Hand","6615","4764","11379"
"490","2021-06-01","NHS","Orthopaedic","Hip","6277","1586","7863"
"491","2021-06-01","NHS","Orthopaedic","Knee","8742","4184","12926"
"492","2021-06-01","NHS","Orthopaedic","Shoulder","2967","3887","6854"
"493","2021-07-01","Independent Sector","Orthopaedic","Elbow","211","142","353"
"494","2021-07-01","Independent Sector","Orthopaedic","Foot","1238","222","1460"
"495","2021-07-01","Independent Sector","Orthopaedic","Hand","1918","347","2265"
"496","2021-07-01","Independent Sector","Orthopaedic","Hip","2701","141","2842"
"497","2021-07-01","Independent Sector","Orthopaedic","Knee","4057","593","4650"
"498","2021-07-01","Independent Sector","Orthopaedic","Shoulder","1099","381","1480"
"499","2021-07-01","NHS","Orthopaedic","Elbow","1136","4793","5929"
"500","2021-07-01","NHS","Orthopaedic","Foot","4152","2190","6342"
"501","2021-07-01","NHS","Orthopaedic","Hand","6334","4474","10808"
"502","2021-07-01","NHS","Orthopaedic","Hip","6424","1529","7953"
"503","2021-07-01","NHS","Orthopaedic","Knee","8634","3826","12460"
"504","2021-07-01","NHS","Orthopaedic","Shoulder","2737","3753","6490"
"505","2021-08-01","Independent Sector","Orthopaedic","Elbow","174","140","314"
"506","2021-08-01","Independent Sector","Orthopaedic","Foot","1101","214","1315"
"507","2021-08-01","Independent Sector","Orthopaedic","Hand","1757","348","2105"
"508","2021-08-01","Independent Sector","Orthopaedic","Hip","2466","130","2596"
"509","2021-08-01","Independent Sector","Orthopaedic","Knee","3814","528","4342"
"510","2021-08-01","Independent Sector","Orthopaedic","Shoulder","883","344","1227"
"511","2021-08-01","NHS","Orthopaedic","Elbow","993","4075","5068"
"512","2021-08-01","NHS","Orthopaedic","Foot","3472","1893","5365"
"513","2021-08-01","NHS","Orthopaedic","Hand","5190","3636","8826"
"514","2021-08-01","NHS","Orthopaedic","Hip","5334","1372","6706"
"515","2021-08-01","NHS","Orthopaedic","Knee","7174","3659","10833"
"516","2021-08-01","NHS","Orthopaedic","Shoulder","2139","3355","5494"
"517","2021-09-01","Independent Sector","Orthopaedic","Elbow","191","156","347"
"518","2021-09-01","Independent Sector","Orthopaedic","Foot","1299","249","1548"
"519","2021-09-01","Independent Sector","Orthopaedic","Hand","1952","384","2336"
"520","2021-09-01","Independent Sector","Orthopaedic","Hip","2633","143","2776"
"521","2021-09-01","Independent Sector","Orthopaedic","Knee","3876","580","4456"
"522","2021-09-01","Independent Sector","Orthopaedic","Shoulder","1088","363","1451"
"523","2021-09-01","NHS","Orthopaedic","Elbow","1134","4559","5693"
"524","2021-09-01","NHS","Orthopaedic","Foot","3664","2207","5871"
"525","2021-09-01","NHS","Orthopaedic","Hand","5676","4396","10072"
"526","2021-09-01","NHS","Orthopaedic","Hip","5370","1562","6932"
"527","2021-09-01","NHS","Orthopaedic","Knee","7854","4119","11973"
"528","2021-09-01","NHS","Orthopaedic","Shoulder","2486","3680","6166"
"529","2021-10-01","Independent Sector","Orthopaedic","Elbow","214","133","347"
"530","2021-10-01","Independent Sector","Orthopaedic","Foot","1236","187","1423"
"531","2021-10-01","Independent Sector","Orthopaedic","Hand","1863","335","2198"
"532","2021-10-01","Independent Sector","Orthopaedic","Hip","2626","177","2803"
"533","2021-10-01","Independent Sector","Orthopaedic","Knee","4074","542","4616"
"534","2021-10-01","Independent Sector","Orthopaedic","Shoulder","1032","368","1400"
"535","2021-10-01","NHS","Orthopaedic","Elbow","1053","3776","4829"
"536","2021-10-01","NHS","Orthopaedic","Foot","3776","2039","5815"
"537","2021-10-01","NHS","Orthopaedic","Hand","5804","4048","9852"
"538","2021-10-01","NHS","Orthopaedic","Hip","5466","1470","6936"
"539","2021-10-01","NHS","Orthopaedic","Knee","7954","3442","11396"
"540","2021-10-01","NHS","Orthopaedic","Shoulder","2338","3405","5743"
"541","2021-11-01","Independent Sector","Orthopaedic","Elbow","228","133","361"
"542","2021-11-01","Independent Sector","Orthopaedic","Foot","1272","234","1506"
"543","2021-11-01","Independent Sector","Orthopaedic","Hand","2025","354","2379"
"544","2021-11-01","Independent Sector","Orthopaedic","Hip","2641","218","2859"
"545","2021-11-01","Independent Sector","Orthopaedic","Knee","4103","599","4702"
"546","2021-11-01","Independent Sector","Orthopaedic","Shoulder","1052","342","1394"
"547","2021-11-01","NHS","Orthopaedic","Elbow","1245","3751","4996"
"548","2021-11-01","NHS","Orthopaedic","Foot","4389","2133","6522"
"549","2021-11-01","NHS","Orthopaedic","Hand","6845","4170","11015"
"550","2021-11-01","NHS","Orthopaedic","Hip","5527","1390","6917"
"551","2021-11-01","NHS","Orthopaedic","Knee","8361","3668","12029"
"552","2021-11-01","NHS","Orthopaedic","Shoulder","2815","3164","5979"
"553","2021-12-01","Independent Sector","Orthopaedic","Elbow","177","152","329"
"554","2021-12-01","Independent Sector","Orthopaedic","Foot","953","212","1165"
"555","2021-12-01","Independent Sector","Orthopaedic","Hand","1543","314","1857"
"556","2021-12-01","Independent Sector","Orthopaedic","Hip","2129","165","2294"
"557","2021-12-01","Independent Sector","Orthopaedic","Knee","3475","559","4034"
"558","2021-12-01","Independent Sector","Orthopaedic","Shoulder","802","360","1162"
"559","2021-12-01","NHS","Orthopaedic","Elbow","992","3518","4510"
"560","2021-12-01","NHS","Orthopaedic","Foot","3280","1815","5095"
"561","2021-12-01","NHS","Orthopaedic","Hand","5183","3442","8625"
"562","2021-12-01","NHS","Orthopaedic","Hip","4762","1213","5975"
"563","2021-12-01","NHS","Orthopaedic","Knee","6822","3289","10111"
"564","2021-12-01","NHS","Orthopaedic","Shoulder","2157","2617","4774"
"565","2022-01-01","Independent Sector","Orthopaedic","Elbow","198","140","338"
"566","2022-01-01","Independent Sector","Orthopaedic","Foot","1132","201","1333"
"567","2022-01-01","Independent Sector","Orthopaedic","Hand","1876","317","2193"
"568","2022-01-01","Independent Sector","Orthopaedic","Hip","2175","194","2369"
"569","2022-01-01","Independent Sector","Orthopaedic","Knee","3534","625","4159"
"570","2022-01-01","Independent Sector","Orthopaedic","Shoulder","901","366","1267"
"571","2022-01-01","NHS","Orthopaedic","Elbow","888","3276","4164"
"572","2022-01-01","NHS","Orthopaedic","Foot","3088","1725","4813"
"573","2022-01-01","NHS","Orthopaedic","Hand","5145","3277","8422"
"574","2022-01-01","NHS","Orthopaedic","Hip","3571","1350","4921"
"575","2022-01-01","NHS","Orthopaedic","Knee","5481","3284","8765"
"576","2022-01-01","NHS","Orthopaedic","Shoulder","1849","2702","4551"
"577","2022-02-01","Independent Sector","Orthopaedic","Elbow","219","145","364"
"578","2022-02-01","Independent Sector","Orthopaedic","Foot","1267","192","1459"
"579","2022-02-01","Independent Sector","Orthopaedic","Hand","1925","289","2214"
"580","2022-02-01","Independent Sector","Orthopaedic","Hip","2633","198","2831"
"581","2022-02-01","Independent Sector","Orthopaedic","Knee","4027","577","4604"
"582","2022-02-01","Independent Sector","Orthopaedic","Shoulder","976","350","1326"
"583","2022-02-01","NHS","Orthopaedic","Elbow","1022","3236","4258"
"584","2022-02-01","NHS","Orthopaedic","Foot","3659","1607","5266"
"585","2022-02-01","NHS","Orthopaedic","Hand","5738","3342","9080"
"586","2022-02-01","NHS","Orthopaedic","Hip","4715","1261","5976"
"587","2022-02-01","NHS","Orthopaedic","Knee","6997","3137","10134"
"588","2022-02-01","NHS","Orthopaedic","Shoulder","2249","2561","4810"
"589","2022-03-01","Independent Sector","Orthopaedic","Elbow","287","175","462"
"590","2022-03-01","Independent Sector","Orthopaedic","Foot","1410","223","1633"
"591","2022-03-01","Independent Sector","Orthopaedic","Hand","2289","403","2692"
"592","2022-03-01","Independent Sector","Orthopaedic","Hip","2922","210","3132"
"593","2022-03-01","Independent Sector","Orthopaedic","Knee","4595","735","5330"
"594","2022-03-01","Independent Sector","Orthopaedic","Shoulder","1194","520","1714"
"595","2022-03-01","NHS","Orthopaedic","Elbow","1145","3404","4549"
"596","2022-03-01","NHS","Orthopaedic","Foot","3697","2018","5715"
"597","2022-03-01","NHS","Orthopaedic","Hand","6502","3581","10083"
"598","2022-03-01","NHS","Orthopaedic","Hip","5678","1299","6977"
"599","2022-03-01","NHS","Orthopaedic","Knee","8223","3354","11577"
"600","2022-03-01","NHS","Orthopaedic","Shoulder","2634","2843","5477"
"601","2022-04-01","Independent Sector","Orthopaedic","Elbow","206","145","351"
"602","2022-04-01","Independent Sector","Orthopaedic","Foot","1304","191","1495"
"603","2022-04-01","Independent Sector","Orthopaedic","Hand","2006","316","2322"
"604","2022-04-01","Independent Sector","Orthopaedic","Hip","2473","163","2636"
"605","2022-04-01","Independent Sector","Orthopaedic","Knee","3853","633","4486"
"606","2022-04-01","Independent Sector","Orthopaedic","Shoulder","890","366","1256"
"607","2022-04-01","NHS","Orthopaedic","Elbow","1048","3401","4449"
"608","2022-04-01","NHS","Orthopaedic","Foot","3637","1913","5550"
"609","2022-04-01","NHS","Orthopaedic","Hand","5212","3357","8569"
"610","2022-04-01","NHS","Orthopaedic","Hip","4804","1129","5933"
"611","2022-04-01","NHS","Orthopaedic","Knee","6736","3174","9910"
"612","2022-04-01","NHS","Orthopaedic","Shoulder","2196","2662","4858"
"613","2022-05-01","Independent Sector","Orthopaedic","Elbow","233","138","371"
"614","2022-05-01","Independent Sector","Orthopaedic","Foot","1382","237","1619"
"615","2022-05-01","Independent Sector","Orthopaedic","Hand","2102","397","2499"
"616","2022-05-01","Independent Sector","Orthopaedic","Hip","2776","208","2984"
"617","2022-05-01","Independent Sector","Orthopaedic","Knee","4388","724","5112"
"618","2022-05-01","Independent Sector","Orthopaedic","Shoulder","1058","479","1537"
"619","2022-05-01","NHS","Orthopaedic","Elbow","1189","3895","5084"
"620","2022-05-01","NHS","Orthopaedic","Foot","4442","2328","6770"
"621","2022-05-01","NHS","Orthopaedic","Hand","6767","4110","10877"
"622","2022-05-01","NHS","Orthopaedic","Hip","5765","1261","7026"
"623","2022-05-01","NHS","Orthopaedic","Knee","8015","3664","11679"
"624","2022-05-01","NHS","Orthopaedic","Shoulder","2567","3115","5682"
"625","2022-06-01","Independent Sector","Orthopaedic","Elbow","197","165","362"
"626","2022-06-01","Independent Sector","Orthopaedic","Foot","1328","230","1558"
"627","2022-06-01","Independent Sector","Orthopaedic","Hand","2098","301","2399"
"628","2022-06-01","Independent Sector","Orthopaedic","Hip","2762","194","2956"
"629","2022-06-01","Independent Sector","Orthopaedic","Knee","4116","745","4861"
"630","2022-06-01","Independent Sector","Orthopaedic","Shoulder","1020","425","1445"
"631","2022-06-01","NHS","Orthopaedic","Elbow","964","3904","4868"
"632","2022-06-01","NHS","Orthopaedic","Foot","4064","2208","6272"
"633","2022-06-01","NHS","Orthopaedic","Hand","5620","3938","9558"
"634","2022-06-01","NHS","Orthopaedic","Hip","5456","1222","6678"
"635","2022-06-01","NHS","Orthopaedic","Knee","7797","3490","11287"
"636","2022-06-01","NHS","Orthopaedic","Shoulder","2264","3022","5286"
"637","2022-07-01","Independent Sector","Orthopaedic","Elbow","211","137","348"
"638","2022-07-01","Independent Sector","Orthopaedic","Foot","1253","221","1474"
"639","2022-07-01","Independent Sector","Orthopaedic","Hand","2125","370","2495"
"640","2022-07-01","Independent Sector","Orthopaedic","Hip","2801","189","2990"
"641","2022-07-01","Independent Sector","Orthopaedic","Knee","4356","620","4976"
"642","2022-07-01","Independent Sector","Orthopaedic","Shoulder","971","364","1335"
"643","2022-07-01","NHS","Orthopaedic","Elbow","1060","3881","4941"
"644","2022-07-01","NHS","Orthopaedic","Foot","3764","1944","5708"
"645","2022-07-01","NHS","Orthopaedic","Hand","6061","3470","9531"
"646","2022-07-01","NHS","Orthopaedic","Hip","5323","1145","6468"
"647","2022-07-01","NHS","Orthopaedic","Knee","7375","3214","10589"
"648","2022-07-01","NHS","Orthopaedic","Shoulder","2265","2850","5115"
"649","2022-08-01","Independent Sector","Orthopaedic","Elbow","216","149","365"
"650","2022-08-01","Independent Sector","Orthopaedic","Foot","1368","200","1568"
"651","2022-08-01","Independent Sector","Orthopaedic","Hand","2218","382","2600"
"652","2022-08-01","Independent Sector","Orthopaedic","Hip","2849","203","3052"
"653","2022-08-01","Independent Sector","Orthopaedic","Knee","4214","637","4851"
"654","2022-08-01","Independent Sector","Orthopaedic","Shoulder","988","424","1412"
"655","2022-08-01","NHS","Orthopaedic","Elbow","1042","3966","5008"
"656","2022-08-01","NHS","Orthopaedic","Foot","3873","1856","5729"
"657","2022-08-01","NHS","Orthopaedic","Hand","6171","3598","9769"
"658","2022-08-01","NHS","Orthopaedic","Hip","5392","1167","6559"
"659","2022-08-01","NHS","Orthopaedic","Knee","7659","3414","11073"
"660","2022-08-01","NHS","Orthopaedic","Shoulder","2271","3090","5361"
"661","2022-09-01","Independent Sector","Orthopaedic","Elbow","224","129","353"
"662","2022-09-01","Independent Sector","Orthopaedic","Foot","1477","224","1701"
"663","2022-09-01","Independent Sector","Orthopaedic","Hand","2380","395","2775"
"664","2022-09-01","Independent Sector","Orthopaedic","Hip","2889","219","3108"
"665","2022-09-01","Independent Sector","Orthopaedic","Knee","4570","716","5286"
"666","2022-09-01","Independent Sector","Orthopaedic","Shoulder","1075","407","1482"
"667","2022-09-01","NHS","Orthopaedic","Elbow","1160","3906","5066"
"668","2022-09-01","NHS","Orthopaedic","Foot","4255","1837","6092"
"669","2022-09-01","NHS","Orthopaedic","Hand","6376","3460","9836"
"670","2022-09-01","NHS","Orthopaedic","Hip","5544","1121","6665"
"671","2022-09-01","NHS","Orthopaedic","Knee","7897","3418","11315"
"672","2022-09-01","NHS","Orthopaedic","Shoulder","2442","3279","5721"
"673","2022-10-01","Independent Sector","Orthopaedic","Elbow","221","117","338"
"674","2022-10-01","Independent Sector","Orthopaedic","Foot","1466","238","1704"
"675","2022-10-01","Independent Sector","Orthopaedic","Hand","2343","459","2802"
"676","2022-10-01","Independent Sector","Orthopaedic","Hip","2993","183","3176"
"677","2022-10-01","Independent Sector","Orthopaedic","Knee","4780","672","5452"
"678","2022-10-01","Independent Sector","Orthopaedic","Shoulder","974","439","1413"
"679","2022-10-01","NHS","Orthopaedic","Elbow","1084","3558","4642"
"680","2022-10-01","NHS","Orthopaedic","Foot","4334","1720","6054"
"681","2022-10-01","NHS","Orthopaedic","Hand","6210","3414","9624"
"682","2022-10-01","NHS","Orthopaedic","Hip","5475","1063","6538"
"683","2022-10-01","NHS","Orthopaedic","Knee","8045","3415","11460"
"684","2022-10-01","NHS","Orthopaedic","Shoulder","2612","2655","5267"
